curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
2.0	98	0.22	0.22	0.009006738662719727	0.255	0.255	0.1011512279510498	0.135	0.135	0.7226095199584961	0.195	0.195	0.7575094699859619	0.09	0.09	5.205589294433594	0.09	0.09	5.215523958206177
2.0	99	0.31	0.31	0.009397029876708984	0.345	0.345	0.10450506210327148	0.225	0.225	0.7316269874572754	0.285	0.285	0.7716958522796631	0.29	0.29	5.224631071090698	0.26	0.26	5.221868991851807
4.0	100	0.215	0.215	0.009301185607910156	0.275	0.275	0.1026921272277832	0.205	0.205	0.7297627925872803	0.25	0.25	0.7650048732757568	0.175	0.175	5.21985387802124	0.19	0.19	5.220450401306152
4.0	101	0.21	0.21	0.009131908416748047	0.255	0.255	0.10475754737854004	0.175	0.175	0.7356600761413574	0.25	0.25	0.759157657623291	0.115	0.115	5.214373826980591	0.115	0.115	5.2239990234375
4.0	102	0.215	0.215	0.00908041000366211	0.285	0.285	0.10148906707763672	0.22	0.22	0.760216236114502	0.285	0.285	0.7608780860900879	0.195	0.195	5.228727102279663	0.285	0.285	5.235512971878052
4.0	103	0.245	0.245	0.009402751922607422	0.27	0.27	0.1046609878540039	0.135	0.135	0.7358169555664062	0.19	0.19	0.7745347023010254	0.175	0.175	5.22332501411438	0.175	0.175	5.220563650131226
4.0	104	0.225	0.225	0.00908660888671875	0.23	0.23	0.1017770767211914	0.155	0.155	0.7259955406188965	0.195	0.195	0.755232572555542	0.095	0.095	5.228320837020874	0.095	0.095	5.229679822921753
4.0	105	0.24	0.24	0.008994579315185547	0.255	0.255	0.10195064544677734	0.185	0.185	0.7247779369354248	0.215	0.215	0.7865891456604004	0.115	0.115	5.23097038269043	0.115	0.115	5.24063515663147
4.0	106	0.35	0.35	0.009395837783813477	0.345	0.345	0.10713958740234375	0.295	0.295	0.7505612373352051	0.315	0.315	0.8006460666656494	0.2	0.2	5.230664253234863	0.2	0.2	5.234532117843628
4.0	107	0.23	0.23	0.009658336639404297	0.25	0.25	0.10694026947021484	0.17	0.17	0.738135576248169	0.21	0.21	0.7851784229278564	0.21	0.21	5.2174973487854	0.19	0.19	5.214263677597046
4.0	108	0.22	0.22	0.009204387664794922	0.23	0.23	0.1034846305847168	0.22	0.22	0.7471258640289307	0.255	0.255	0.7985472679138184	0.21	0.21	5.218663692474365	0.21	0.21	5.224583148956299
4.0	109	0.235	0.235	0.009492874145507812	0.25	0.25	0.10709428787231445	0.2	0.2	0.7506005764007568	0.235	0.235	0.8049781322479248	0.15	0.15	5.2198805809021	0.135	0.135	5.230504512786865
